Kategori,Fråga,Svar,Nyckelord
Leverans,Hur lång är leveranstiden?,Vi levererar normalt inom 2-3 arbetsdagar i Stockholmsområdet. För övriga Sverige tar det 3-5 arbetsdagar.,"leverans, tid, dagar, leveranstid, frakt"
Leverans,Levererar ni på helger?,Ja vi levererar även på lördagar mot en tilläggsavgift på 500 kr. Söndagsleverans efter överenskommelse.,"helg, lördag, söndag, leverans"
Leverans,Hur går leveransen till?,Vi levererar direkt till angiven adress. Våra chaufförer ringer 30 min innan ankomst. Vid setup monterar vi allt på plats.,"leverans, montering, setup, uppbyggnad"
Priser,Vad kostar det att hyra ett partytält?,Partytält 4x8m kostar 2500 kr/dag och 6x12m kostar 4500 kr/dag. Längre hyresperioder ger rabatt.,"pris, tält, partytält, kostnad, hyra"
Priser,Ingår montering i priset?,Montering kostar 500-1500 kr beroende på tältets storlek. För mindre tält kan ni välja att montera själva.,"montering, setup, pris, kostnad"
Priser,Får man rabatt vid längre uthyrning?,Ja! 3-5 dagar: 10% rabatt. 6-7 dagar: 20% rabatt. Över en vecka: individuell prissättning.,"rabatt, kampanj, längre, period"
Priser,Vad kostar det att hyra bord och stolar?,Ståbord: 150 kr/dag. Stolar (vita plast): 35 kr/st/dag. Minimum 5 bord eller 10 stolar.,"bord, stolar, möbler, pris"
Villkor,Kan jag avboka min bokning?,Kostnadsfri avbokning fram till 48 timmar före leverans. Därefter återbetalas 50% av hyresbeloppet.,"avboka, ångra, villkor, återbetalning, cancel"
Villkor,Hur fungerar betalningen?,50% handpenning vid signering av avtal. Restbelopp betalas vid leverans (Swish eller faktura för företag).,"betalning, faktura, swish, handpenning, deposit"
Villkor,Vad händer om produkten skadas?,Mindre slitage ingår. Vid skador utöver normalt slitage debiteras reparationskostnad. Vi rekommenderar försäkring vid stora evenemang.,"skada, försäkring, ansvar"
Villkor,Behöver jag teckna försäkring?,Det är inte obligatoriskt men rekommenderas för större evenemang. Vi erbjuder eventförsäkring från 200 kr.,"försäkring, skydd, ansvar"
Produkter,Vilka tältstorlekar finns?,Vi har partytält i storlekarna 3x3m 4x4m 4x8m 6x6m 6x12m och specialbeställningar upp till 10x20m.,"tält, storlek, mått, dimension"
Produkter,Kan man ha värmefläkt i tältet?,Ja vi har värmefläktar (450 kr/dag) och även infraröda värmare för större tält.,"värme, värmefläkt, fläkt, kyla"
Produkter,Finns det tak- och sidoväggar till tälten?,Ja alla våra tält levereras med tak. Sidoväggar kostar 300-800 kr extra beroende på täljets storlek.,"sidoväggar, väggar, tak, täckning"
Produkter,Har ni ljus och belysning?,Ja vi erbjuder festbelysning ljusslingor och spotlights. Grundpaket från 400 kr/dag.,"ljus, belysning, lampor, festbelysning"
Bokning,Hur långt i förväg måste jag boka?,Vi rekommenderar att boka minst 2 veckor i förväg särskilt för högsäsong (maj-september). Akuta bokningar kan ibland lösas.,"bokning, förväg, tid, lead time"
Bokning,Hur gör jag en bokning?,Skicka en förfrågan via email så återkommer vi inom 2 timmar med offert. När du godkänner skickar vi avtal för e-signering.,"boka, bokning, process, hur"
Bokning,Kan jag ändra min bokning?,Ja ändringar kan göras kostnadsfritt fram till 72 timmar före leverans. Därefter kan ändringsavgift tillkomma.,"ändra, modifiera, ändring, anpassa"
Bokning,Får jag förlänga hyresperioden?,Ja om produkterna är tillgängliga kan du förlänga. Kontakta oss så snart du vet att du behöver längre tid.,"förlänga, längre, extra, mer tid"
Support,Vem kontaktar jag vid problem?,Ring oss på 08-123 456 78 (24/7 under pågående uthyrningar) eller maila info@eventgaraget.se,"kontakt, hjälp, support, problem"
Support,Vad gör jag om något går sönder?,Kontakta oss omedelbart. Vi kan oftast leverera ersättning samma dag. Dokumentera gärna med foto.,"sönder, trasig, fel, defekt"
Support,Kan jag få hjälp med planering av mitt event?,Ja! Vi erbjuder gratis eventplanering och kan hjälpa dig räkna ut exakt vad du behöver baserat på gästantal och typ av event.,"planering, hjälp, rådgivning, tips"

